,Grapheme,Phoneme
10,با وجود بروز اختلاف‌نظر بين اعضاي ناتو طي دوران جنگ سرد ، اين سازمان همچنان به‌عنوان مهمترين و اصلي‌ترين نهاد امنيتي كشورهاي غربي براي مقابله با تهديدهاي شوروي باقي ماند,"b/ vo,ude1 boruze1 ]extel/fe1 nazar beyne1 ]a]z/ye1 n/to teyye1 dor/ne1 ,ange1 sard ]in s/zem/n ham'en/n be ]onv/ne1 mohemtarin va ]aslitarin nah/de1 ]amniyatie1 ke.varh/ye1 qarbi bar/ye moq/bele b/ tahdidh/ye1 .oravi b/qi m/nd
"
11,پنجاهمين سالگرد تاسيس سازمان پيمان آتلانتيك شمالي در آوريل هزار وَ نُهصد وَ نود وَ نُه با حضور سران كشورهاي عضو در واشنگتن برگزار شد,"pan,/homin s/lgarde1 ta]sise1 s/zem/ne1 peym/ne1 ]/tl/ntike1 .om/li dar ]/vrile1 hez/r va nohsad va navad va noh b/ hozure1 sar/ne1 ke.varh/ye1 ]ozv dar v/.angton bargoz/r .od
"
12,اين نشست زماني بر پا شد كه ناتو توانسته بود در آخرين اقدام‌هاي خود در بحران كوزوو هم در اقدام نظامي‌و هم در نقش سياسي خود موفقيت‌هايي را كسب كند,"]in ne.ast zam/ni barp/ .od ke n/to tav/neste bud dar ]/xarin ]eqd/mh/ye1 xod dar bohr/ne1 kozovo ham dar ]eqd/me1 nez/mi va ham dar naq.e1 siy/sie1 xod movaffaqiyath/]i r/ kasb konad
"
13,هم چنين اين نشست زماني برگزار مي‌شد كه سه كشور اروپاي شرقي يعني جمهوري چك ، مجارستان و لهستان يك ماه قبل از آن ماه مارس هزار وَ نُهصد وَ نود وَ نُه رسماً به عضويت ناتو پذيرفته شدند,"ham'enin ]in ne.ast zam/ni bargoz/r mi.od ke se ke.vare1 ]orup/ye1 .arqi ya]ni ,omhurie1 'ek ma,/rest/n va lahest/n yek m/h qabl ]az ]/n m/he1 m/rse1 hez/r va nohsad va navad va noh rasman be ]ozviyate1 n/to pazirofte .odand
"
14,اين نشست از اين نظر نيز حايز اهميت بود كه ناتو پس از پنجاه سال فعاليت خود و گذراندن يك دوره بحران موجوديت و هويت در نتيجه‌ي فروپاشي اتحاد جماهير شوروي و انحلال پيمان ورشو ، توانست به‌عنوان يك سازمان مهم دفاعي ، زيربناي امنيتي كشورهاي غربي را تشكيل دهد,"]in ne.ast ]az ]in nazar niz h/]eze1 ]ahammiyat bud ke n/to pas ]az pan,/h s/l fa]]/liyate1 xod va gozar/ndane1 yek doreye1 bohr/ne1 mo,udiyat va hoviyat dar nati,eye1 forup/.ie1 ]etteh/de1 ,am/hire1 .oravi va ]enhel/le1 peym/ne1 var.o tav/nest be ]onv/ne1 yek s/zem/ne1 mohemme1 def/]i zirban/ye1 ]amniyatie1 ke.varh/ye1 qarbi r/ ta.kil dahad
"
15,ناتو ، پنجاه سال قبل ، با انعقاد پيمان آتلانتيك شمالي در هزار وَ نُهصد وَ چهل وَ نُه اعلام موجوديت كرد,"n/to pan,/h s/l qabl b/ ]en]eq/de1 peym/ne1 ]/tl/ntike1 .om/li dar hez/r va nohsad va 'ehel va noh ]e]l/me1 mo,udiyat kard
"
16,مهم‌ترين انگيزه‌يي كه‌در تشكيل اين سازمان موثر بود ، مقابله با تهديد اتحاد جماهير شوروي و خطر توسعه‌ي كمونيسم بين‌الملل بود,"mohemtarin ]angize]i ke dar ta.kile1 ]in s/zem/ne1 mo]asser bud moq/bele b/ tahdide1 ]etteh/de1 ,am/hire1 .oravi va xatare1 tose]eye1 komonisme1 beynolmelal bud
"
17,از زمان تاسيس ، اين سازمان همواره شاهد تحولات مهمي در صحنه‌ي بين‌المللي و در زمينه‌هاي مختلف بوده‌است,"]az zam/ne1 ta]sis ]in s/zem/n hamv/re ./hede1 tahavvol/te1 mohemmi dar sahneye1 beynolmelali va dar zamineh/ye1 moxtalef bude ]ast 
"
18,پيشرفت در سلاح‌هاي هسته‌يي و پي آمده‌اي سياسي آن ، تغيير و تحول در تعادل قدرت در نظام بين‌الملل ، بحران‌هاي مختلف منطقه‌يي ، تشديد رقابت‌هاي اقتصادي در صحنه‌ي جهان ، ظهور كشورهاي جهان سوم در صحنه‌ي بين‌الملل و در اين اواخر فروپاشي اتحاد جماهير شوروي ، انحلال پيمان ورشو ، پايان جنگ سرد و بروز بحران‌هاي جديد منطقه‌يي از جمله‌ي اين تحولات بوده‌است,"pi.raft dar sel/hh/ye1 haste]i va pey/madh/ye1 siy/sie1 ]/n taqyir va tahavvol dar ta]/dole1 qodrat dar nez/me1 beynolmelal bohr/nh/ye1 moxtalefe1 mantaqe]i ta.dide1 req/bath/ye1 ]eqtes/di dar sahneye1 ,ah/n zohure1 ke.varh/ye1 ,ah/ne1 sevvom dar sahneye1 beynolmelal va dar ]in ]av/xer forup/.ie1 ]etteh/de1 ,am/hire1 .oravi ]enhel/le1 peym/ne1 var.o p/y/ne1 ,ange1 sard va boruze1 bohr/nh/ye1 ,adide1 mantaqe]i ]az ,omleye1 ]in tahavvol/t bude ]ast
"
19,چنين تحولاتي بدون شك ، مشكلات متعدد در ابعاد مختلف براي ناتو در پي‌داشته است,"'enin tahavvol/ti bedune .ak mo.kel/te1 mote]added dar ]ab]/de1 moxtalef bar/ye n/to dar pey d/.te ]ast
"
20,ولي اين سازمان با گذراندن چهل سال دوران جنگ سرد و ده سال دوران پس از جنگ سرد همچنان به‌عنوان مهم‌ترين نهاد امنيتي غرب به حيات خود ادامه مي‌دهد,"vali ]in s/zem/n b/ gozar/ndane1 'ehel s/l dor/ne1 ,ange1 sard va dah s/l dor/ne1 pas ]az ,ange1 sard ham'en/n be ]onv/ne1 mohemtarin nah/de1 ]amniyatie1 qarb be hay/te1 xod ]ed/me midahad
"
21,در اين مقاله ، پس از بررسي چگونگي شكل‌گيري ، اهداف ، تعهدات و ساختار ناتو ، به تحولات اين سازمان در نيم‌قرن گذشته كه متاثر از وقايع و تحولات نظام بين‌الملل بوده‌است ، اشاره خواهيم داشت,"dar ]in maq/le pas ]az barrasie1 'egunegie1 .eklgiri ]ahd/f ta]ahhod/t va s/xt/re1 n/to be tahavvol/te1 ]in s/zem/n dar nim qarne1 goza.te ke mote]asser ]az vaq/ye] va tahavvol/te1 nez/me1 beynolmelal bude ]ast ]e./re x/him d/.t
"
22,به‌لحاظ اهميت دوران پس از جنگ سرد و مطرح شدن مباحث مختلف در مورد ماهيت نقش ناتو پس از فروپاشي اتحاد جماهير شوروي و در واقع در پي از بين رفتن علت وجودي آن ، تحولات اين نهاد امنيتي در دهه‌ي اخير بيشترين توجه را در اين مقاله به‌خود جلب كرده است,"be leh/ze1 ]ahammiyate1 dor/ne1 pas ]az ,ange1 sard va matrah .odane1 mab/hese1 moxtalef dar morede1 m/hiyate1 naq.e1 n/to pas ]az forup/.ie1 ]etteh/de1 ,am/hire1 .oravi va darv/qe] dar peye1 ]az beyn raftane1 ]ellate1 vo,udie1 ]/n tahavvol/te1 ]in nah/de1 ]amniyati dar daheye1 ]axir bi.tarin tava,,oh r/ dar ]in maq/le be xod ,alb karde ]ast
"
23,شكل‌گيري ناتو پس از اتمام جنگ‌جهاني دوم ، كشورهاي اروپاي غربي به‌منظور تامين امنيت جمعي خود ، معاهدات و قراردادهاي متعددي را امضا كردند,".eklgirie1 n/to pas ]az ]etm/me1 ,ange1 ,ah/nie1 dovvom ke.varh/ye1 ]orup/ye1 qarbi be manzure1 ta]mine1 ]amniyate1 ,am]ie1 xod mo]/hed/t va qar/rd/dh/ye1 mote]addedi r/ ]emz/ kardand
"
24,قرارداد دونكرك در سال هزار وَ نُهصد وَ چهل وَ هفت بين انگليس و فرانسه و پيمان بروكسل در سال هزار وَ نُهصد وَ چهل وَ هشت ميان پنج كشور اروپايي انگليس ، فرانسه ، بلژيك ، هلند و لوكزامبورگ از جمله قراردادهاي نظامي مهمي بود كه ميان كشورهاي اروپاي غربي به امضا رسيد,"qar/rd/de1 donkerek dar s/le1 hez/r va nohsad va 'ehel va haft beyne1 ]engelis va far/nse va peym/ne1 boruksel dar s/le1 hez/r va nohsad va 'ehel va ha.t miy/ne1 pan, ke.vare1 ]orup/]ie1 ]engelis far/nse bel[ik holand va lukz/mborg ]az ,omle qar/rd/dh/ye1 nez/mie1 mohemmi bud ke miy/ne1 ke.varh/ye1 ]orup/ye1 qarbi be ]emz/ resid
"
25,به‌ويژه پيمان بروكسل ، فكر ايجاد يك نظام امنيتي ميان كشورهاي اروپاي غربي را پديد آورد,"bevi[e peym/ne1 boruksel fekre1 ]i,/de1 yek nez/me1 ]amniyati miy/ne1 ke.varh/ye1 ]orup/ye1 qarbi r/ padid ]/vard
"
26,هرچند هدف از امضاي پيمان بروكسل مقابله با تهديد مجدد و احتمالي آلمان با توجه به تجربه‌ي سياست‌هاي تهاجمي گذشته‌ي اين كشور بود,"har'and hadaf ]az ]emz/ye1 peym/ne1 boruksel moq/bele b/ tahdide1 mo,addad va ]ehtem/lie1 ]/lm/n b/ tava,,oh be ta,robeye1 siy/sath/ye1 tah/,omie1 goza.teye1 ]in ke.var bud 
"
27,ولي وخامت اوضاع سياسي بين‌المللي سال‌هاي پس از جنگ ، از جمله اشغال كشورهاي اروپاي شرقي توسط نيروهاي ارتش سرخ و استقرار رژيم‌هاي كمونيستي در اين كشورها موجب گرديد ، كشورهاي اروپاي غربي به‌اين فكر بيفتند كه براي مقابله با تهديد شوروي و جلوگيري از اشاعه‌ي كمونيسم ، با مشاركت ايالات‌متحده يك نظام امنيتي فراگير در اروپا را به اجرا بگذارند,"vali vex/mate1 ]oz/]e1 siy/sie1 beynolmelalie1 s/lh/ye1 pas ]az ,ang ]az ,omle ]e.q/le1 ke.varh/ye1 ]orup/ye1 .arqi tavassote1 niruh/ye1 ]arte.e1 sorx va ]esteqr/re1 re[imh/ye1 komonisti dar ]in ke.varh/ mo,eb gardid ke.varh/ye1 ]orup/ye1 qarbi be ]in fekr biyoftand ke bar/ye moq/bele b/ tahdide1 .oravi va ,ologiri ]az ]e./]eye1 komonism b/ mo./rekate1 ]ey/l/te1 mottahede yek nez/me1 ]amniyatie1 far/gir dar ]orup/ r/ be ]e,r/ begoz/rand
"
28,از سوي ديگر ، تصويب قطعنامه‌ي شماره‌ي دويست وَ سي وَ نُه ، معروف به لايحه‌ي واندنبرگ در سناي آمريكا در ژوئن هزار وَ نُهصد وَ چهل وَ هشت پيوستن اين كشور را در پيمان‌هاي خارج از قاره‌ي آمريكا تسهيل كرد,"]az suye1 digar tasvibe1 qat]n/meye1 .om/reye1 devist va si va-yo noh ma]ruf be l/yeheye1 v/ndenberg dar sen/ye1 ]/mrik/ dar [u]ane1 hez/r va nohsad va 'ehel va ha.t peyvastane1 ]in ke.var r/ dar peym/nh/ye1 x/re, ]az q/rreye1 ]/mrik/ tashil kard
"
29,در اين قطعنامه به اصولي اشاره مي‌شد كه سياست كلي ايالات‌متحده را نسبت به دنياي خارج ، تعيين مي‌كرد,"dar ]in qat]n/me be ]osuli ]e./re mi.od ke siy/sate1 kollie1 ]ey/late1 mottahede r/ nesbat be dony/ye1 x/re, ta]yin mikard
"
30,در بخشي از اين قطعنامه ، به‌خصوص در بند سه ، دولت آمريكا را به شركت در پيمان‌هاي نظامي منطقه‌يي خارج از قاره‌ي آمريكا كه با امنيت ملي كشور مرتبط بود ، تشويق مي‌كرد,"dar bax.i ]az ]in qat]n/me bexosus dar bande1 se dolate1 ]/mrik/ r/ be .erkat dar peym/nh/ye1 nez/mie1 mantaqe]ie1 x/re, ]az q/rreye1 ]/mrik/ ke b/ ]amniyate1 mellie1 ke.var mortabet bud ta.viq mikard
"
31,بلافاصله پس از تصويب لايحه‌ي واندنبرگ ، مذاكراتي بين وزارت امور خارجه و سفيران پنج كشور عضو پيمان بروكسل و سفير كانادا در واشنگتن آغاز شد,"bel/f/sele pas ]az tasvibe1 l/yeheye1 vandenberg moz/ker/ti beyne1 vez/rate1 ]omure1 x/re,e va safir/ne1 pan, ke.vare1 ]ozve1 peym/ne1 boruksel va safire1 k/n/d/ dar v/.angton ]/q/z .od
"
32,در پي اين مذاكرات ، اصول كلي مربوط به امضاي يك پيمان دفاعي موسوم به آتلانتيك شمالي در اكتبر همان سال مورد تاييد قرار گرفت,"dar peye1 ]in moz/ker/t ]osule1 kollie1 marbut be ]emz/ye1 yek peym/ne1 def/]i mosum be ]/tl/ntike1 .om/li dar ]oktobre1 ham/n s/l morede1 ta]yid qar/r gereft
"
33,با پايان يافتن مذاكرات هفت كشور ، از ساير كشورهاي اروپايي از جمله نروژ ، دانمارك ، ايسلند ، ايتاليا و پرتغال در ماه مارس هزار وَ نُهصد وَ چهل وَ نُه دعوت به‌عمل آمد تا در يك پيمان امنيت جمعي شركت كنند,"b/ p/y/n y/ftane1 moz/ker/te1 haft ke.var ]az s/yere1 ke.varh/ye1 ]orup/]i ]az ,omle norve[ d/nm/rk ]island ]it/liy/ va portoq/l dar m/he1 m/rse1 hez/r va nohsad va 'ehel va noh da]vat be ]amal ]/mad t/ dar yek peym/ne1 ]amniyate1 ,am]i .erkat konand
"
34,با پيوستن اين پنج كشور ، پيمان آتلانتيك شمالي در چهار آوريل هزار وَ نُهصد وَ چهل وَ نُه رسماً به‌تصويب رسيد و از بيست وَ چهار اوت همان سال‌به اجرا گذاشته شد,"b/ peyvastane1 ]in pan, ke.var peym/ne1 ]/tl/ntike1 .om/li dar 'ah/re1 ]/vrile1 hez/r va nohsad va 'ehel va noh rasman be tasvib resid va ]az bist va 'ah/re1 ]ute1 ham/n s/l be ]e,r/ goz/.te .od
"
35,بنابراين ، اين پيمان هنگامي به امضاً اعضا رسيد كه شامل دوازده كشور بود,"ban/bar]in ]in peym/n heng/mi be ]emz/e1 ]a]z/ resid ke ./mele1 dav/zdah ke.var bud
"
36,دو كشور تركيه و يونان نيز با وجود اين‌كه مرزي با اقيانوس اطلس ، آتلانتيك ، نداشتند ، ولي ازآن جاكه به‌طور مستقيم از سوي شوروي مورد تهديد قلمداد مي‌شدند در بيست وَ دو اكتبر هزار وَ نُهصد وَ پنجاه وَ يك با امضاي پروتكل الحاقي به جمع كشورهاي عضو ناتو پيوستند,"do ke.vare1 torkiye va yun/n niz b/vo,ude]inke marzi b/ ]oqy/nuse1 ]atlas ]/tl/ntik nad/.tand vali ]az]/n,/ke be tore1 mostaqim ]az suye1 .oravi morede1 tahdid qalamd/d mi.odand dar bist va doe1 ]oktobre1 hez/r va nohsad va pan,/h va yek b/ ]emz/ye1 porotokole1 ]elh/qi be ,am]e1 ke.varh/ye1 ]ozve1 n/to peyvastand
"
37,به‌دنبال اين‌دو كشور ، آلمان غربي نيز در چارچوب موافقت‌نامه موافقت‌نامه‌ي بيست وَ سه اكتبر هزار وَ نُهصد وَ پنجاه وَ چهار به ناتو پيوست و بالاخره با گذشت چند سال از فعاليت‌هاي ناتو ، در سال هزار وَ نُهصد وَ هشتاد وَ دو با ورود اسپانيا ، تعداد اعضاي ناتو به شانزده كشور افزايش يافت,"be donb/le1 ]in do ke.var ]/lm/ne1 qarbi niz dar '/r'ube1 mov/feqatn/meye1 bist va see1 ]oktobre1 hez/r va nohsad va pan,/h va 'ah/r be n/to peyvast va bel]axare b/ goza.te1 'and s/l ]az fa]]/liyath/ye1 n/to dar s/le1 hez/r va nohsad va ha.t/d va do b/ vorude1 ]esp/niy/ te]d/de1 ]a]z/ye1 n/to be ./nzdah ke.var ]afz/ye. y/ft
"
38,هدف‌ها و تعهدهاي اعضاي ناتو كشورهاي عضو ناتو ، با امضاي پيمان آتلانتيك شمالي ، اهدافي را براي اين سازمان تعيين كرده‌اند كه به‌منظور تحقق اين اهداف بايد همكاري كنند ، يك ، اهداف ناتو ، آنطور كه‌در پيمان تصريح‌شده است ، عبارت است از,"hadafh/ va ta]ahhodh/ye1 ]a]z/ye1 n/to ke.varh/ye1 ]ozve1 n/to b/ ]emz/ye1 peym/ne1 ]/tl/ntike1 .om/li ]ahd/fi r/ bar/ye ]in s/zm/n ta]yin karde]and ke be manzure1 tahaqqoqe1 ]in ]ahd/f ]a]z/ye1 n/to b/yad hamk/ri konand ]ahd/fe1 n/to ]/ntorke dar peym/n tasrih .ode ]ast ]eb/rat ]ast ]az 
"
39,حفظ آزادي ملت‌هاي عضو ، حفظ ميراث مشترك و تمدن آن‌ها كه بر اصول دموكراسي استوار است ، حفظ آزادي‌هاي فردي و احترام به مقررات حقوقي ، توجه به رفاه و ثبات در منطقه‌ي آتلانتيك شمالي,"hefze1 ]/z/die1 mellath/ye1 ]ozv hefze1 mir/se1 mo.tarak va tamaddone1 ]/nh/ ke bar ]osule1 domokr/si ]ostov/r ]ast hefze1 ]/z/dih/ye1 fardi va ]ehter/m be moqarrar/te1 hoquqi tava,,oh be ref/h va sob/t dar mantaqeye1 ]/tl/ntike1 .om/li 
"
40,همچنين در كنار تلاش براي تحقق اهداف فوق ، اعضاي ناتو بايد در ايجاد تعادل اقتصادي و اجتماعي ، گسترش مشورت‌هاي سياسي و تشويق دولت‌هاي عضو در حل مسالمت‌آميز اختلاف‌ها و همكاري در زمينه‌هاي علمي و فني كوشش كنند,"ham'enin dar ken/re1 tal/. bar/ye tahaqqoqe1 ]ahd/fe1 foq ]a]z/ye1 n/to b/yad dar ]i,/de1 ta]/dole1 ]eqtes/di va ]e,tem/]i gostare.e1 ma.verath/ye1 siy/si va ta.viqe1 dolath/ye1 ]ozv dar halle1 mos/lemat]/mize1 ]extel/fh/ va hamk/ri dar zamineh/ye1 ]elmi va fanni ku.e. konand
"
41,طبق مفاد پيمان آتلانتيك شمالي ، كشورهاي عضو ناتو به‌منظور تحقق بخشيدن به اهداف فوق تعهداتي را نسبت به يكديگر پذيرفته‌اند,"tebqe1 mof/dde1 peym/ne1 ]/tl/ntike1 .om/li ke.varh/ye1 ]ozve1 n/to be manzure1 tahaqqoq bax.idan be ]ahd/fe1 foq ta]ahhod/ti r/ nesbat be yekdigar pazirofte]and
"
42,اين تعهدات هم شامل زمان جنگ و هم‌زمان صلح مي‌شود,"]in ta]ahhod/t ham ./mele1 zam/ne1 ,ang va ham zam/ne1 solh mi.avad
"
43,مهم‌ترين تعهدي كه كشورها نسبت به يكديگر دارند مربوط به زمان جنگ است,"mohemtarin ta]ahhodi ke ke.varh/ nesbat be yekdigar d/rand marbut be zam/ne1 ,ang ]ast
"
44,در زمان جنگ ، سازمان پيمان آتلانتيك شمالي ، به‌استناد ماده‌ي پانزده منشور سازمان ملل متحد ، حق مشروع خود مي‌داند درصورتي‌كه مورد حمله قرار گيرد به‌صورت جمعي دست‌به اقدام بزنند,"dar zam/ne1 ,ang s/zm/ne1 peym/ne1 ]/tl/ntike1 .om/li be ]esten/de1 m/ddeye1 p/nzdahe1 man.ure1 s/zm/ne1 melale1 mottahed haqqe1 ma.ru]e1 xod mid/nad darsuratike morede1 hamle qar/r girad be surate1 ,am]i dast be ]eqd/m bezanand
"
45,با الهام گرفتن از ماده‌ي پانزده منشور ، ماده‌ي پنج پيمان آتلانتيك شمالي پيش‌بيني مي‌كند كه هر حمله‌ي نظامي كه‌در قلمرو پيمان عليه يك يا چند دولت عضو صورت گيرد در حكم حمله به تمامي كشورهاي عضو تلقي خواهد شد,"b/ ]elh/m gereftan ]az m/ddeye1 p/nzdahe1 man.ur m/ddeye1 pan,e1 peym/ne1 ]/tl/ntike1 .om/li pi.bini mikonad ke har hamleye1 nez/mi ke dar qalamrove1 peym/n ]aleyhe1 yek y/ 'and dolate1 ]ozv surat girad dar hokme1 hamle be tam/mie1 ke.varh/ye1 ]ozv talaqqi x/had .od
"
46,اين ماده اضافه مي‌كند ، در صورت وقوع چنين حمله‌يي ، هر كدام از كشورهاي عضو متعهدند ، هرچه سريع‌تر هر اقدامي را كه ضروري تلقي,"]in m/dde ]ez/fe mikonad dar surate1 voqu]e1 'enin hamle]i har kod/m ]az ke.varh/ye1 ]ozv mote]ahhedand har'e sari]tar har ]eqd/mi r/ ke zaruri talaqqi
"
47,مي‌كنند ، حتي اگر مستلزم توسل به نيروي نظامي باشد ، به‌منظور كمك به قرباني يا قربانيان تجاوز با مشورت ساير اعضا به اجرا بگذارند,"mikonand hatt/ ]agar mostalzeme1 tavassol be niruye1 nez/mi b/.ad be manzure1 komak be qorb/ni y/ qorb/niy/ne1 ta,/voz b/ ma.verate1 s/yere1 ]a]z/ be ]e,r/ begoz/rand
"
48,در اينجا لازم به‌ذكر است ، هرچند اين ماده تمامي اعضا را براي اقدام مشترك متعهد مي‌سازد ، ولي اين اقدام خود به‌خود و بلافاصله انجام نخواهد گرفت ، زيرا همانگونه كه از مفاد اين ماده استنباط مي‌شود ، كشورها قبل از انجام هر اقدامي بايد با يكديگر مشورت كنند و هر كشور در تشخيص شرايط لازم براي اقدام مشترك و در مورد ميزان مشاركت خود آزاد مي‌باشد,"dar ]in,/ l/zem be zekr ]ast har'and ]in m/dde tam/mie1 ]a]z/ r/ bar/ye ]eqd/me1 mo.tarak mote]ahhed mis/zad vali ]in ]eqd/m xodbexod va bel/f/sele ]an,/m nax/had gereft zir/ ham/nguneke ]az mof/dde1 ]in m/dde ]estenb/t mi.avad ke.varh/ qabl ]az ]an,/me1 har ]eqd/mi b/yad b/ yekdigar ma.verat konand va har ke.var dar ta.xise1 .ar/yete1 l/zem bar/ye ]eqd/me1 mo.tarak va dar morede1 miz/ne1 mo./rekate1 xod ]/z/d mib/.ad
"
49,تعهد ديگر كشورهاي عضو ناتو مربوط به زماني مي‌شود كه تهديد صورت‌گرفته است,"ta]ahhode1 digar ke.varh/ye1 ]ozve1 n/to marbut be zam/ni mi.avad ke tahdid surat gerefte ]ast
"
50,اعضاي ناتو معتقدند در مواقعي كه تماميت ارضي ، استقلال سياسي و يا امنيت آن‌ها مورد تهديد قرار گرفته با يكديگر مشورت كنند,"]a]z/ye1 n/to mo]taqedand dar mav/qe]i ke tam/miyate1 ]arzi ]esteql/le1 siy/si va y/ ]amniyate1 ]/nh/ morede1 tahdid qar/r gerefte b/ yekdigar ma.verat konand
"
51,تعهدات ديگر اعضاي ناتو مربوط به زمان صلح است,"ta]ahhod/te1 digare1 ]a]z/ye1 n/to marbut be zam/ne1 solh ]ast
"
52,در زمان صلح ، كشورهاي عضو اين تعهد را پذيرفته‌اند كه از طريق اقدام‌هاي فردي و جمعي ، به‌طور مستمر و منظم ، تجهيزات و وسايل نظامي خود را بهبود بخشند و متقابلا به‌منظور تقويت توانايي نظامي هم‌پيمانان خود به آن‌ها كمك كنند,"dar zam/ne1 solh ke.varh/ye1 ]ozv ]in ta]ahhod r/ pazirofte]and ke ]az tariqe1 ]eqd/mh/ye1 fardi va ,am]i be tore1 mostamar va monazzam ta,hiz/t va vas/yele1 nez/mie1 xod r/ behbud bax.and va motaq/belan be manzure1 taqviyate1 tav/n/]ie1 nez/mie1 hampeym/n/ne1 xod be ]/nh/ komak konand
"
